workload,prompt_idx,policy,avg_latency,net_speedup,wasted_tokens_per_accepted
humaneval,99,baseline,1.5701401233673096,1.0,0.0
humaneval,100,baseline,1.5849041938781738,1.0,0.0
humaneval,101,baseline,1.566114902496338,1.0,0.0
humaneval,102,baseline,1.5724806785583496,1.0,0.0
humaneval,103,baseline,1.5745785236358643,1.0,0.0
humaneval,104,baseline,1.5735185146331787,1.0,0.0
humaneval,105,baseline,1.5995535850524902,1.0,0.0
humaneval,106,baseline,1.5889832973480225,1.0,0.0
humaneval,107,baseline,1.5901541709899902,1.0,0.0
humaneval,108,baseline,1.0285224914550781,1.0,0.0
humaneval,109,baseline,1.5890939235687256,1.0,0.0
humaneval,110,baseline,1.579042911529541,1.0,0.0
humaneval,111,baseline,1.5841434001922607,1.0,0.0
humaneval,112,baseline,1.5256683826446533,1.0,0.0
humaneval,113,baseline,1.582728385925293,1.0,0.0
humaneval,114,baseline,1.5736134052276611,1.0,0.0
humaneval,115,baseline,1.5762965679168701,1.0,0.0
humaneval,116,baseline,0.9913837909698486,1.0,0.0
humaneval,117,baseline,1.5871987342834473,1.0,0.0
humaneval,118,baseline,1.5749402046203613,1.0,0.0
humaneval,119,baseline,1.5806074142456055,1.0,0.0
humaneval,120,baseline,1.5781426429748535,1.0,0.0
humaneval,121,baseline,1.5664522647857666,1.0,0.0
humaneval,122,baseline,1.5908286571502686,1.0,0.0
humaneval,123,baseline,1.5790104866027832,1.0,0.0
humaneval,124,baseline,1.5903236865997314,1.0,0.0
humaneval,125,baseline,1.579770803451538,1.0,0.0
humaneval,126,baseline,1.6160342693328857,1.0,0.0
humaneval,127,baseline,1.5780565738677979,1.0,0.0
humaneval,128,baseline,1.5726313591003418,1.0,0.0
humaneval,129,baseline,1.6048178672790527,1.0,0.0
humaneval,130,baseline,1.5824944972991943,1.0,0.0
humaneval,131,baseline,1.5575647354125977,1.0,0.0
humaneval,132,baseline,1.6473667621612549,1.0,0.0
humaneval,133,baseline,1.5771164894104004,1.0,0.0
humaneval,134,baseline,1.588099718093872,1.0,0.0
humaneval,135,baseline,1.5621511936187744,1.0,0.0
humaneval,136,baseline,1.5958013534545898,1.0,0.0
humaneval,137,baseline,1.6014082431793213,1.0,0.0
humaneval,138,baseline,1.569378137588501,1.0,0.0
humaneval,139,baseline,1.5707142353057861,1.0,0.0
humaneval,140,baseline,1.5685064792633057,1.0,0.0
humaneval,141,baseline,1.5705938339233398,1.0,0.0
humaneval,142,baseline,1.1201493740081787,1.0,0.0
humaneval,143,baseline,1.5868196487426758,1.0,0.0
humaneval,144,baseline,1.5789611339569092,1.0,0.0
humaneval,145,baseline,1.580235481262207,1.0,0.0
humaneval,146,baseline,1.5860605239868164,1.0,0.0
humaneval,147,baseline,1.572082281112671,1.0,0.0
humaneval,148,baseline,1.5744922161102295,1.0,0.0
humaneval,149,baseline,1.563713788986206,1.0,0.0
humaneval,150,baseline,1.557511329650879,1.0,0.0
humaneval,151,baseline,1.5835528373718262,1.0,0.0
humaneval,152,baseline,0.5819215774536133,1.0,0.0
humaneval,153,baseline,1.5788369178771973,1.0,0.0
humaneval,154,baseline,1.5583853721618652,1.0,0.0
humaneval,155,baseline,1.5429072380065918,1.0,0.0
humaneval,156,baseline,1.564887523651123,1.0,0.0
humaneval,157,baseline,1.5702259540557861,1.0,0.0
humaneval,158,baseline,1.5566141605377197,1.0,0.0
humaneval,159,baseline,1.5947754383087158,1.0,0.0
