workload,policy,batch_size,mean_accepted_length,net_speedup,wasted_tokens_per_accepted
gsm8k,linucb,1,1.892,1.691,1.305
gsm8k,linucb,8,1.748,1.486,1.721
gsm8k,linucb,32,1.866,1.401,2.132
gsm8k,linucb,64,1.841,1.31,2.437
gsm8k,linucb_explore,1,1.904,1.702,1.293
gsm8k,linucb_explore,8,1.882,1.438,2.141
gsm8k,linucb_explore,32,1.86,1.244,2.819
gsm8k,linucb_explore,64,1.863,1.182,3.045
gsm8k,linucb_fine,1,1.636,1.784,0.689
gsm8k,linucb_fine,8,1.568,1.416,1.764
gsm8k,linucb_fine,32,1.606,1.357,2.045
gsm8k,linucb_fine,64,1.624,1.31,2.321
mt_bench,fixed_1,1,0.814,1.512,0.186
mt_bench,fixed_1,8,0.796,1.497,0.317
mt_bench,fixed_1,32,0.801,1.5,0.26
mt_bench,fixed_1,64,0.795,1.496,0.262
mt_bench,fixed_2,1,1.388,1.706,0.612
mt_bench,fixed_2,8,1.353,1.681,0.564
mt_bench,fixed_2,32,1.363,1.688,0.485
mt_bench,fixed_2,64,1.355,1.682,0.484
mt_bench,fixed_3,1,1.718,1.699,1.16
mt_bench,fixed_3,8,1.666,1.666,0.936
mt_bench,fixed_3,32,1.678,1.674,0.815
mt_bench,fixed_3,64,1.668,1.667,0.811
mt_bench,fixed_4,1,1.888,1.605,1.761
mt_bench,fixed_4,8,1.807,1.559,1.409
mt_bench,fixed_4,32,1.825,1.57,1.231
mt_bench,fixed_4,64,1.815,1.564,1.221
mt_bench,fixed_6,1,1.982,1.356,3.022
mt_bench,fixed_6,8,1.879,1.309,2.507
mt_bench,fixed_6,32,1.899,1.318,2.224
mt_bench,fixed_6,64,1.888,1.313,2.206
mt_bench,fixed_8,1,1.986,1.148,4.3
mt_bench,fixed_8,8,1.883,1.109,3.67
mt_bench,fixed_8,32,1.902,1.116,3.292
mt_bench,fixed_8,64,1.891,1.112,3.268
mt_bench,entropy_threshold,1,1.758,1.703,1.117
mt_bench,entropy_threshold,8,1.683,1.448,1.732
mt_bench,entropy_threshold,32,1.697,1.374,1.898
mt_bench,entropy_threshold,64,1.684,1.343,1.991
mt_bench,epsilon_greedy,1,1.732,1.672,1.252
mt_bench,epsilon_greedy,8,1.495,1.507,1.395
mt_bench,epsilon_greedy,32,1.495,1.373,1.839
mt_bench,epsilon_greedy,64,1.463,1.334,1.979
mt_bench,ucb,1,1.504,1.699,0.847
mt_bench,ucb,8,1.5,1.413,1.835
mt_bench,ucb,32,1.505,1.288,2.348
mt_bench,ucb,64,1.481,1.191,2.863
mt_bench,history,1,1.392,1.619,0.935
mt_bench,history,8,1.301,1.246,2.701
mt_bench,history,32,1.312,1.093,3.448
mt_bench,history,64,1.294,1.025,3.929
mt_bench,oracle,1,1.92,1.957,0.186
mt_bench,oracle,8,1.839,1.598,1.204
mt_bench,oracle,32,1.858,1.472,1.605
mt_bench,oracle,64,1.846,1.397,1.87
mt_bench,ucb_coarse,1,1.494,1.533,1.411
mt_bench,ucb_coarse,8,1.363,1.122,3.737
mt_bench,ucb_coarse,32,1.446,0.991,4.338
mt_bench,ucb_coarse,64,1.442,0.943,4.58
mt_bench,linucb,1,1.604,1.563,1.398
mt_bench,linucb,8,1.218,1.198,2.95
mt_bench,linucb,32,1.447,1.223,2.729
mt_bench,linucb,64,1.4,1.155,3.242
mt_bench,linucb_explore,1,1.662,1.568,1.517
mt_bench,linucb_explore,8,1.357,1.235,2.854
mt_bench,linucb_explore,32,1.439,1.025,4.111
mt_bench,linucb_explore,64,1.445,1.032,4.066
mt_bench,linucb_fine,1,1.428,1.672,0.789
mt_bench,linucb_fine,8,1.327,1.485,1.382
mt_bench,linucb_fine,32,1.383,1.272,2.345
mt_bench,linucb_fine,64,1.38,1.202,2.812
spec_bench,fixed_1,1,0.866,1.555,0.134
spec_bench,fixed_1,8,0.848,1.539,0.217
spec_bench,fixed_1,32,0.85,1.541,0.185
spec_bench,fixed_1,64,0.846,1.538,0.186
spec_bench,fixed_2,1,1.542,1.816,0.458
spec_bench,fixed_2,8,1.512,1.794,0.376
spec_bench,fixed_2,32,1.513,1.795,0.334
spec_bench,fixed_2,64,1.507,1.791,0.332
spec_bench,fixed_3,1,2.018,1.886,0.882
