workload,best_fixed_policy,best_fixed_speedup,policy,policy_speedup,gap_pct,wasted_saved_pct
gsm8k,fixed_2,0.501427329311874,entropy,0.43194763531135455,-13.856383555293803,-1221.6742325960267
gsm8k,fixed_2,0.501427329311874,epsilon_greedy,0.4965204753799877,-0.9785772822993252,37.09564078697166
gsm8k,fixed_2,0.501427329311874,history,0.4818558953418041,-3.9031446484834373,-47.86894205011771
gsm8k,fixed_2,0.501427329311874,linucb,0.46882040756925597,-6.502821014436047,48.979729278924694
gsm8k,fixed_2,0.501427329311874,linucb_explore,0.4864474240724642,-2.9874528897272454,31.55643836915439
gsm8k,fixed_2,0.501427329311874,linucb_fine,0.5139736593030007,2.502123290396729,54.04692870661854
gsm8k,fixed_2,0.501427329311874,ucb,0.48049343732981925,-4.174860594611586,29.7905556852129
gsm8k,fixed_2,0.501427329311874,ucb_coarse,0.4852736431159217,-3.221540839850216,57.44852793489361
humaneval,fixed_2,0.6012727672397616,entropy,0.5980662016246004,-0.5332963323586805,-1239.3427584075791
humaneval,fixed_2,0.6012727672397616,epsilon_greedy,0.5775032829566498,-3.9531948856139745,12.959015964954574
humaneval,fixed_2,0.6012727672397616,history,0.594688952027172,-1.0949797781152992,-56.22151455749831
humaneval,fixed_2,0.6012727672397616,linucb,0.41767022865795256,-30.535648475261194,26.824239525159648
humaneval,fixed_2,0.6012727672397616,linucb_explore,0.34192464378775816,-43.133189723955454,3.311206392256236
humaneval,fixed_2,0.6012727672397616,linucb_fine,0.5019199290589872,-16.52375487366066,25.471383775225082
humaneval,fixed_2,0.6012727672397616,ucb,0.5784799515256569,-3.7907613575680124,-52.922138848221266
humaneval,fixed_2,0.6012727672397616,ucb_coarse,0.5835672427298066,-2.9446742767404923,-15.722561448163635
mt_bench,fixed_2,0.46027450095481354,entropy,0.39155703458185254,-14.929670496716737,-958.712379946261
mt_bench,fixed_2,0.46027450095481354,epsilon_greedy,0.4365367243881291,-5.157308631575664,44.695934549268976
mt_bench,fixed_2,0.46027450095481354,history,0.42776906497691825,-7.0621848289367755,11.379869974071227
mt_bench,fixed_2,0.46027450095481354,linucb,0.4372758663737815,-4.996721420222638,36.42697994860286
mt_bench,fixed_2,0.46027450095481354,linucb_explore,0.43472101188074885,-5.551793336597054,17.64799177372601
mt_bench,fixed_2,0.46027450095481354,linucb_fine,0.4565258183855324,-0.8144449804420393,64.36847833900585
mt_bench,fixed_2,0.46027450095481354,ucb,0.4320113664302016,-6.140495392636709,-15.24408536978434
mt_bench,fixed_2,0.46027450095481354,ucb_coarse,0.42483628549045516,-7.699365354987904,36.88313228861168
spec_bench,fixed_4,0.5185622463115511,entropy,0.3000330723360927,-42.14135825155434,-1525.121241619513
spec_bench,fixed_4,0.5185622463115511,epsilon_greedy,0.4337461553916009,-16.35600962531177,56.87249089781239
spec_bench,fixed_4,0.5185622463115511,history,0.5289258783038064,1.9985319151114733,10.863239451015625
spec_bench,fixed_4,0.5185622463115511,linucb,0.2773876525003642,-46.508320944423275,46.741191278613414
spec_bench,fixed_4,0.5185622463115511,linucb_explore,0.37602286353713466,-27.487420032652953,55.67170813315546
spec_bench,fixed_4,0.5185622463115511,linucb_fine,0.2952408312270895,-43.06549824498612,44.30120170851501
spec_bench,fixed_4,0.5185622463115511,ucb,0.4537717705672412,-12.494252368959371,26.248437412175786
spec_bench,fixed_4,0.5185622463115511,ucb_coarse,0.46128190500845756,-11.045991433144103,55.15882559788237
