workload,best_fixed_policy,best_fixed_speedup,policy,policy_speedup,gap_pct,wasted_saved_pct
gsm8k,fixed_8,0.5882318322242025,entropy,0.46234784981963706,-21.400402954831115,-340.48812729484285
gsm8k,fixed_8,0.5882318322242025,epsilon_greedy,0.6267078031821903,6.540953557801144,68.02633464891056
gsm8k,fixed_8,0.5882318322242025,history,0.9011705468600858,53.19989458112288,7.412860878521492
gsm8k,fixed_8,0.5882318322242025,linucb,0.779524041336851,32.51986693568433,73.39348678670197
gsm8k,fixed_8,0.5882318322242025,linucb_explore,0.7952908514101142,35.20024042272366,63.23479854032927
gsm8k,fixed_8,0.5882318322242025,linucb_fine,0.7937929762288999,34.945600143303444,70.51908357149529
gsm8k,fixed_8,0.5882318322242025,ucb,0.8785867754301334,49.36063084312362,40.51562641763285
gsm8k,fixed_8,0.5882318322242025,ucb_coarse,0.8357005041211871,42.0699218131845,49.987915003273386
humaneval,fixed_4,0.6588682127314507,entropy,0.4439863862002954,-32.613779566072246,-890.2637867701584
humaneval,fixed_4,0.6588682127314507,epsilon_greedy,0.48769646921537246,-25.9796633391155,42.67428251531675
humaneval,fixed_4,0.6588682127314507,history,0.5468582625556405,-17.000357281079594,-79.66807154326455
humaneval,fixed_4,0.6588682127314507,linucb,0.48560601235892314,-26.296943307408853,28.064445488708312
humaneval,fixed_4,0.6588682127314507,linucb_explore,0.4763064409604277,-27.708389666300942,9.37720728348079
humaneval,fixed_4,0.6588682127314507,linucb_fine,0.5255493712761976,-20.2345232140669,23.723811383748153
humaneval,fixed_4,0.6588682127314507,ucb,0.5443603722803384,-17.37947562781948,-15.591502399884263
humaneval,fixed_4,0.6588682127314507,ucb_coarse,0.5201441480026734,-21.05490324896279,0.8300807392008968
mt_bench,fixed_2,0.4579944496349239,entropy,0.42620886079912007,-6.940169004480456,-491.2594314435844
mt_bench,fixed_2,0.4579944496349239,epsilon_greedy,0.44287275266171056,-3.3017205744015357,4.277681006187041
mt_bench,fixed_2,0.4579944496349239,history,0.45082045991089537,-1.5663922848294505,-52.68983581079388
mt_bench,fixed_2,0.4579944496349239,ucb,0.4390148489383404,-4.144067840060616,-65.41621065630679
mt_bench,fixed_2,0.4579944496349239,ucb_coarse,0.4123121286401706,-9.974426771147025,-130.49147877347642
