workload,prompt_idx,policy,avg_latency,net_speedup,wasted_tokens_per_accepted
humaneval,99,baseline,0.45656418800354004,1.0,0.0
humaneval,100,baseline,1.7573935985565186,1.0,0.0
humaneval,101,baseline,0.8853759765625,1.0,0.0
humaneval,102,baseline,1.591172218322754,1.0,0.0
humaneval,103,baseline,0.748525857925415,1.0,0.0
humaneval,104,baseline,1.7199528217315674,1.0,0.0
humaneval,105,baseline,1.7950937747955322,1.0,0.0
humaneval,106,baseline,1.743870735168457,1.0,0.0
humaneval,107,baseline,1.640930414199829,1.0,0.0
humaneval,108,baseline,1.6015887260437012,1.0,0.0
humaneval,109,baseline,1.7063119411468506,1.0,0.0
humaneval,110,baseline,1.767085075378418,1.0,0.0
humaneval,111,baseline,1.7642600536346436,1.0,0.0
humaneval,112,baseline,1.6045076847076416,1.0,0.0
humaneval,113,baseline,1.6119563579559326,1.0,0.0
humaneval,114,baseline,1.6945011615753174,1.0,0.0
humaneval,115,baseline,1.7770884037017822,1.0,0.0
humaneval,116,baseline,1.766930103302002,1.0,0.0
humaneval,117,baseline,1.6144728660583496,1.0,0.0
humaneval,118,baseline,1.6142988204956055,1.0,0.0
humaneval,119,baseline,1.7061290740966797,1.0,0.0
humaneval,120,baseline,1.7738091945648193,1.0,0.0
humaneval,121,baseline,1.7206859588623047,1.0,0.0
humaneval,122,baseline,1.6457226276397705,1.0,0.0
humaneval,123,baseline,1.671236276626587,1.0,0.0
humaneval,124,baseline,1.8159334659576416,1.0,0.0
humaneval,125,baseline,1.1226611137390137,1.0,0.0
humaneval,126,baseline,1.7156481742858887,1.0,0.0
humaneval,127,baseline,1.6114673614501953,1.0,0.0
humaneval,128,baseline,1.628136157989502,1.0,0.0
humaneval,129,baseline,1.8609421253204346,1.0,0.0
humaneval,130,baseline,1.7843773365020752,1.0,0.0
humaneval,131,baseline,1.680835247039795,1.0,0.0
humaneval,132,baseline,1.6370456218719482,1.0,0.0
humaneval,133,baseline,1.6611833572387695,1.0,0.0
humaneval,134,baseline,1.3895678520202637,1.0,0.0
humaneval,135,baseline,1.7720015048980713,1.0,0.0
humaneval,136,baseline,1.6622300148010254,1.0,0.0
humaneval,137,baseline,1.6069409847259521,1.0,0.0
humaneval,138,baseline,1.662921667098999,1.0,0.0
humaneval,139,baseline,1.5502839088439941,1.0,0.0
humaneval,140,baseline,1.9126715660095215,1.0,0.0
humaneval,141,baseline,1.6831326484680176,1.0,0.0
humaneval,142,baseline,1.6151831150054932,1.0,0.0
humaneval,143,baseline,1.8099186420440674,1.0,0.0
humaneval,144,baseline,0.8318295478820801,1.0,0.0
humaneval,145,baseline,1.7549054622650146,1.0,0.0
humaneval,146,baseline,1.7227439880371094,1.0,0.0
