seed,workload,policy,mean_speedup,accepted_tokens_per_step,mean_K,n_steps
6,gsm8k,eps_greedy,1.4042,2.401,2.184,5000
6,gsm8k,linucb_content,1.323,2.5496,2.912,5000
6,gsm8k,nightjar,1.4284,2.4448,2.44,5000
6,gsm8k,oracle_load,1.4573,2.5894,2.816,5000
6,gsm8k,oracle_content,1.4604,2.5054,1.987,5000
6,gsm8k,oracle_loadcontent,1.5216,2.4838,2.113,5000
6,gsm8k,content_only,1.4358,2.348,1.913,5000
6,gsm8k,load_only,1.4423,2.452,2.375,5000
6,gsm8k,combined,1.453,2.7094,2.786,5000
6,gsm8k,oracle,1.6298,2.6414,1.925,5000
6,mt_bench,fixed_1,1.2857,1.75,1.0,5000
6,mt_bench,fixed_2,1.3346,2.2842,2.0,5000
6,mt_bench,fixed_4,1.1925,2.8862,4.0,5000
6,mt_bench,fixed_8,0.8139,3.2122,8.0,5000
6,mt_bench,svip,1.1538,3.1684,4.524,5000
6,mt_bench,tapout,1.0441,3.0334,5.36,5000
6,mt_bench,banditspec_ucb,1.2694,2.0384,1.786,5000
6,mt_bench,banditspec_exp3,1.1602,2.541,3.751,5000
6,mt_bench,eps_greedy,1.3089,2.2118,1.987,5000
6,mt_bench,linucb_content,1.0889,2.676,4.692,5000
6,mt_bench,nightjar,1.3395,2.2948,2.329,5000
6,mt_bench,oracle_load,1.3802,2.0338,1.516,5000
6,mt_bench,oracle_content,1.376,2.4524,2.003,5000
6,mt_bench,oracle_loadcontent,1.4371,2.3186,1.902,5000
6,mt_bench,content_only,1.3167,2.7358,2.917,5000
6,mt_bench,load_only,1.3497,2.2588,2.163,5000
6,mt_bench,combined,1.3431,2.5764,2.761,5000
6,mt_bench,oracle,1.5389,2.4998,1.821,5000
6,spec_bench,fixed_1,1.2406,1.7706,1.0,5000
6,spec_bench,fixed_2,1.2927,2.3536,2.0,5000
6,spec_bench,fixed_4,1.1815,3.0682,4.0,5000
6,spec_bench,fixed_8,0.8341,3.5388,8.0,5000
6,spec_bench,svip,1.0703,3.5034,5.394,5000
6,spec_bench,tapout,1.0125,3.2842,5.739,5000
6,spec_bench,banditspec_ucb,1.2428,1.9274,1.3,5000
6,spec_bench,banditspec_exp3,1.1327,2.6726,3.751,5000
6,spec_bench,eps_greedy,1.2767,2.3734,2.145,5000
6,spec_bench,linucb_content,1.2075,2.7058,3.182,5000
6,spec_bench,nightjar,1.2999,2.345,2.292,5000
6,spec_bench,oracle_load,1.3453,2.4486,2.573,5000
6,spec_bench,oracle_content,1.329,2.665,2.283,5000
6,spec_bench,oracle_loadcontent,1.3968,2.3438,1.911,5000
6,spec_bench,content_only,1.2639,2.9052,3.143,5000
6,spec_bench,load_only,1.3248,2.4762,2.585,5000
6,spec_bench,combined,1.3225,2.6238,2.711,5000
6,spec_bench,oracle,1.4983,2.55,1.847,5000
7,humaneval,fixed_1,1.3886,1.9076,1.0,5000
7,humaneval,fixed_2,1.5729,2.7102,2.0,5000
7,humaneval,fixed_4,1.6432,3.9696,4.0,5000
7,humaneval,fixed_8,1.3841,5.3464,8.0,5000
7,humaneval,svip,1.4386,5.3412,7.415,5000
7,humaneval,tapout,1.4446,4.8258,6.581,5000
7,humaneval,banditspec_ucb,1.6109,4.0276,4.281,5000
7,humaneval,banditspec_exp3,1.4898,3.4662,3.758,5000
7,humaneval,eps_greedy,1.6118,3.8348,3.855,5000
7,humaneval,linucb_content,1.5694,3.7546,3.941,5000
7,humaneval,nightjar,1.6938,3.4338,3.303,5000
7,humaneval,oracle_load,1.7483,3.1444,2.767,5000
7,humaneval,oracle_content,1.6767,3.6962,3.297,5000
7,humaneval,oracle_loadcontent,1.7673,3.521,3.39,5000
7,humaneval,content_only,1.5469,3.9788,4.284,5000
7,humaneval,load_only,1.6945,3.4468,3.226,5000
7,humaneval,combined,1.6987,3.4412,3.156,5000
7,humaneval,oracle,1.9076,3.6212,2.796,5000
7,gsm8k,fixed_1,1.338,1.8034,1.0,5000
7,gsm8k,fixed_2,1.4218,2.3924,2.0,5000
7,gsm8k,fixed_4,1.3142,3.098,4.0,5000
7,gsm8k,fixed_8,0.9328,3.5148,8.0,5000
7,gsm8k,svip,1.208,3.475,5.203,5000
7,gsm8k,tapout,1.1274,3.283,5.7,5000
7,gsm8k,banditspec_ucb,1.4079,2.3304,1.91,5000
7,gsm8k,banditspec_exp3,1.2486,2.6836,3.752,5000
7,gsm8k,eps_greedy,1.4032,2.432,2.232,5000
7,gsm8k,linucb_content,1.3666,2.48,2.416,5000
7,gsm8k,nightjar,1.4441,2.609,2.736,5000
7,gsm8k,oracle_load,1.4806,2.637,2.792,5000
7,gsm8k,oracle_content,1.4625,2.539,2.019,5000
7,gsm8k,oracle_loadcontent,1.531,2.5354,2.169,5000
7,gsm8k,content_only,1.4299,2.3478,1.895,5000
7,gsm8k,load_only,1.4468,2.3976,2.152,5000
7,gsm8k,combined,1.4647,2.756,2.775,5000
7,gsm8k,oracle,1.6468,2.7406,2.025,5000
7,mt_bench,fixed_1,1.2814,1.742,1.0,5000
7,mt_bench,fixed_2,1.3288,2.269,2.0,5000
7,mt_bench,fixed_4,1.1835,2.8448,4.0,5000
7,mt_bench,fixed_8,0.8128,3.1628,8.0,5000
7,mt_bench,svip,1.1781,3.1134,4.397,5000
7,mt_bench,tapout,1.0533,2.972,5.291,5000
7,mt_bench,banditspec_ucb,1.2972,2.1138,1.816,5000
7,mt_bench,banditspec_exp3,1.1525,2.5034,3.751,5000
7,mt_bench,eps_greedy,1.3024,2.2214,2.028,5000
7,mt_bench,linucb_content,1.2195,2.522,3.421,5000
7,mt_bench,nightjar,1.326,2.2606,2.299,5000
7,mt_bench,oracle_load,1.3744,2.029,1.54,5000
7,mt_bench,oracle_content,1.3784,2.41,1.96,5000
7,mt_bench,oracle_loadcontent,1.4336,2.297,1.879,5000
7,mt_bench,content_only,1.345,2.4592,2.317,5000
7,mt_bench,load_only,1.3523,2.1592,1.888,5000
7,mt_bench,combined,1.3724,2.4538,2.46,5000
7,mt_bench,oracle,1.5371,2.5112,1.844,5000
7,spec_bench,fixed_1,1.3056,1.7826,1.0,5000
7,spec_bench,fixed_2,1.3823,2.3746,2.0,5000
7,spec_bench,fixed_4,1.2777,3.1264,4.0,5000
7,spec_bench,fixed_8,0.9103,3.6612,8.0,5000
7,spec_bench,svip,1.1429,3.6254,5.539,5000
7,spec_bench,tapout,1.0883,3.4032,5.832,5000
7,spec_bench,banditspec_ucb,1.3128,1.9356,1.271,5000
7,spec_bench,banditspec_exp3,1.2216,2.7508,3.752,5000
7,spec_bench,eps_greedy,1.368,2.4082,2.173,5000
7,spec_bench,linucb_content,1.3047,2.8486,3.358,5000
7,spec_bench,nightjar,1.3949,2.5084,2.572,5000
7,spec_bench,oracle_load,1.4366,2.5686,2.733,5000
7,spec_bench,oracle_content,1.4233,2.7266,2.335,5000
7,spec_bench,oracle_loadcontent,1.4902,2.4612,2.055,5000
7,spec_bench,content_only,1.3694,2.4382,2.111,5000
7,spec_bench,load_only,1.3974,2.304,1.991,5000
7,spec_bench,combined,1.4083,2.777,2.877,5000
7,spec_bench,oracle,1.6005,2.684,1.972,5000
