seed,workload,policy,mean_speedup,accepted_tokens_per_step,mean_K,n_steps
1,gsm8k,fixed_2,1.3905,2.3522,2.0,5000
1,gsm8k,fixed_4,1.2717,3.0236,4.0,5000
1,gsm8k,fixed_8,0.892,3.442,8.0,5000
1,gsm8k,svip,1.1877,3.403,5.029,5000
1,gsm8k,tapout,1.1,3.201,5.573,5000
1,gsm8k,banditspec_ucb,1.3889,2.3102,1.945,5000
1,gsm8k,banditspec_exp3,1.2127,2.6418,3.751,5000
1,gsm8k,eps_greedy,1.3711,2.3708,2.167,5000
1,gsm8k,linucb_content,1.3156,2.5828,2.833,5000
1,gsm8k,nightjar,1.3912,2.3136,2.195,5000
1,gsm8k,oracle_load,1.4243,2.5434,2.83,5000
1,gsm8k,oracle_content,1.4371,2.5022,1.988,5000
1,gsm8k,oracle_loadcontent,1.4943,2.4534,2.098,5000
1,gsm8k,content_only,1.3902,2.4122,2.11,5000
1,gsm8k,load_only,1.4122,2.2378,1.876,5000
1,gsm8k,combined,1.4313,2.4974,2.35,5000
1,gsm8k,oracle,1.6063,2.655,1.959,5000
1,mt_bench,fixed_1,1.234,1.7252,1.0,5000
1,mt_bench,fixed_2,1.2615,2.23,2.0,5000
1,mt_bench,fixed_4,1.0945,2.7514,4.0,5000
1,mt_bench,fixed_8,0.7232,2.9966,8.0,5000
1,mt_bench,svip,1.0916,2.9448,4.203,5000
1,mt_bench,tapout,0.969,2.835,5.208,5000
1,mt_bench,banditspec_ucb,1.2247,1.8302,1.298,5000
1,mt_bench,banditspec_exp3,1.0816,2.4206,3.751,5000
1,mt_bench,eps_greedy,1.2352,2.2798,2.294,5000
1,mt_bench,linucb_content,1.1793,2.4862,2.982,5000
1,mt_bench,nightjar,1.2537,2.147,2.118,5000
1,mt_bench,oracle_load,1.3112,1.9768,1.504,5000
1,mt_bench,oracle_content,1.301,2.3028,1.847,5000
1,mt_bench,oracle_loadcontent,1.3532,2.184,1.761,5000
1,mt_bench,content_only,1.2796,2.152,1.767,5000
1,mt_bench,load_only,1.2849,2.1518,1.98,5000
1,mt_bench,combined,1.2952,2.1202,1.821,5000
1,mt_bench,oracle,1.4473,2.35,1.687,5000
1,spec_bench,fixed_1,1.3017,1.7878,1.0,5000
1,spec_bench,fixed_2,1.3734,2.383,2.0,5000
1,spec_bench,fixed_4,1.2549,3.1118,4.0,5000
1,spec_bench,fixed_8,0.8913,3.5854,8.0,5000
1,spec_bench,svip,1.1378,3.5486,5.444,5000
1,spec_bench,tapout,1.0807,3.3354,5.775,5000
1,spec_bench,banditspec_ucb,1.3215,2.3284,2.093,5000
1,spec_bench,banditspec_exp3,1.2034,2.7124,3.752,5000
1,spec_bench,eps_greedy,1.3427,2.3824,2.177,5000
1,spec_bench,linucb_content,1.2616,2.4966,2.941,5000
1,spec_bench,nightjar,1.3806,2.4774,2.474,5000
1,spec_bench,oracle_load,1.4309,2.5552,2.65,5000
1,spec_bench,oracle_content,1.4116,2.7202,2.322,5000
1,spec_bench,oracle_loadcontent,1.4811,2.442,2.003,5000
1,spec_bench,content_only,1.3823,2.7802,2.65,5000
1,spec_bench,load_only,1.391,2.2438,1.83,5000
1,spec_bench,combined,1.4094,2.7288,2.736,5000
1,spec_bench,oracle,1.5913,2.6864,1.973,5000
2,humaneval,fixed_1,1.3564,1.9066,1.0,5000
2,humaneval,fixed_2,1.4995,2.6934,2.0,5000
2,humaneval,fixed_4,1.4874,3.9008,4.0,5000
2,humaneval,fixed_8,1.2103,5.1826,8.0,5000
2,humaneval,svip,1.2707,5.1756,7.315,5000
2,humaneval,tapout,1.2912,4.6912,6.543,5000
2,humaneval,banditspec_ucb,1.4606,2.5162,1.79,5000
2,humaneval,banditspec_exp3,1.3901,3.4298,3.755,5000
2,humaneval,eps_greedy,1.482,3.7592,3.809,5000
2,humaneval,linucb_content,1.4589,3.0024,2.631,5000
2,humaneval,nightjar,1.5725,3.124,2.845,5000
2,humaneval,oracle_load,1.6311,2.9138,2.476,5000
2,humaneval,oracle_content,1.5406,3.62,3.25,5000
2,humaneval,oracle_loadcontent,1.6435,3.1712,2.895,5000
2,humaneval,content_only,1.4959,2.7086,2.038,5000
2,humaneval,load_only,1.5671,2.9798,2.588,5000
2,humaneval,combined,1.5651,3.3064,3.027,5000
2,humaneval,oracle,1.7592,3.2378,2.397,5000
2,gsm8k,fixed_1,1.3135,1.7972,1.0,5000
2,gsm8k,fixed_2,1.3873,2.3794,2.0,5000
2,gsm8k,fixed_4,1.2841,3.0728,4.0,5000
2,gsm8k,fixed_8,0.914,3.504,8.0,5000
2,gsm8k,svip,1.1842,3.4682,5.233,5000
2,gsm8k,tapout,1.1079,3.2752,5.692,5000
2,gsm8k,banditspec_ucb,1.3688,2.4372,2.255,5000
2,gsm8k,banditspec_exp3,1.2285,2.7004,3.752,5000
2,gsm8k,eps_greedy,1.3684,2.3994,2.174,5000
2,gsm8k,linucb_content,1.2743,2.6476,3.274,5000
2,gsm8k,nightjar,1.3885,2.4018,2.353,5000
2,gsm8k,oracle_load,1.4253,2.5698,2.837,5000
2,gsm8k,oracle_content,1.4259,2.5568,2.063,5000
2,gsm8k,oracle_loadcontent,1.4942,2.4796,2.115,5000
2,gsm8k,content_only,1.3901,2.9328,3.045,5000
2,gsm8k,load_only,1.4189,2.4534,2.376,5000
2,gsm8k,combined,1.4294,2.707,2.772,5000
2,gsm8k,oracle,1.6058,2.6842,1.979,5000
2,mt_bench,fixed_1,1.2672,1.7048,1.0,5000
2,mt_bench,fixed_2,1.3019,2.1974,2.0,5000
2,mt_bench,fixed_4,1.1291,2.716,4.0,5000
2,mt_bench,fixed_8,0.7564,2.987,8.0,5000
2,mt_bench,svip,1.1279,2.9356,4.142,5000
2,mt_bench,tapout,1.0096,2.8254,5.134,5000
2,mt_bench,banditspec_ucb,1.2534,1.7426,1.179,5000
2,mt_bench,banditspec_exp3,1.1108,2.3966,3.75,5000
2,mt_bench,eps_greedy,1.2804,2.0674,1.843,5000
2,mt_bench,linucb_content,1.2575,2.3588,2.541,5000
2,mt_bench,nightjar,1.3057,2.1354,2.108,5000
2,mt_bench,oracle_load,1.3372,1.95,1.523,5000
2,mt_bench,oracle_content,1.3441,2.3114,1.87,5000
2,mt_bench,oracle_loadcontent,1.3954,2.206,1.809,5000
2,mt_bench,content_only,1.2448,2.5314,2.874,5000
2,mt_bench,load_only,1.2868,1.9396,1.61,5000
2,mt_bench,combined,1.3268,2.1494,1.917,5000
2,mt_bench,oracle,1.4877,2.3632,1.722,5000
2,spec_bench,fixed_1,1.3172,1.8118,1.0,5000
2,spec_bench,fixed_2,1.405,2.443,2.0,5000
2,spec_bench,fixed_4,1.317,3.2468,4.0,5000
2,spec_bench,fixed_8,0.9581,3.822,8.0,5000
2,spec_bench,svip,1.1613,3.7964,5.86,5000
2,spec_bench,tapout,1.1183,3.5448,5.992,5000
2,spec_bench,banditspec_ucb,1.3309,3.1862,3.85,5000
2,spec_bench,banditspec_exp3,1.245,2.8136,3.752,5000
2,spec_bench,eps_greedy,1.3955,2.4616,2.126,5000
2,spec_bench,linucb_content,1.3717,2.6736,2.738,5000
2,spec_bench,nightjar,1.4174,2.5464,2.514,5000
2,spec_bench,oracle_load,1.4772,2.639,2.694,5000
2,spec_bench,oracle_content,1.4441,2.8508,2.488,5000
2,spec_bench,oracle_loadcontent,1.5175,2.5362,2.122,5000
2,spec_bench,content_only,1.3181,3.0666,3.663,5000
2,spec_bench,load_only,1.4261,2.3282,1.893,5000
2,spec_bench,combined,1.4395,2.8718,2.93,5000
2,spec_bench,oracle,1.633,2.7852,2.052,5000
3,humaneval,fixed_1,1.4,1.914,1.0,5000
3,humaneval,fixed_2,1.5781,2.7256,2.0,5000
3,humaneval,fixed_4,1.6479,4.0236,4.0,5000
3,humaneval,fixed_8,1.372,5.4386,8.0,5000
3,humaneval,svip,1.4245,5.4316,7.476,5000
3,humaneval,tapout,1.4333,4.8964,6.603,5000
3,humaneval,banditspec_ucb,1.6431,3.8542,3.738,5000
3,humaneval,banditspec_exp3,1.4996,3.5164,3.758,5000
3,humaneval,eps_greedy,1.5734,3.0176,2.523,5000
3,humaneval,linucb_content,1.5421,2.88,2.395,5000
3,humaneval,nightjar,1.6959,3.3772,3.201,5000
3,humaneval,oracle_load,1.7516,3.125,2.731,5000
3,humaneval,oracle_content,1.6716,3.7494,3.343,5000
3,humaneval,oracle_loadcontent,1.7525,3.4238,3.292,5000
3,humaneval,content_only,1.6572,3.907,3.738,5000
3,humaneval,load_only,1.6981,3.4684,3.308,5000
3,humaneval,combined,1.7101,3.369,3.077,5000
3,humaneval,oracle,1.8975,3.539,2.716,5000
3,gsm8k,fixed_1,1.2777,1.7782,1.0,5000
3,gsm8k,fixed_2,1.3242,2.3414,2.0,5000
3,gsm8k,fixed_4,1.1765,2.9894,4.0,5000
3,gsm8k,fixed_8,0.8086,3.3714,8.0,5000
3,gsm8k,svip,1.1039,3.328,4.984,5000
3,gsm8k,tapout,1.0237,3.1678,5.572,5000
3,gsm8k,banditspec_ucb,1.3173,2.2896,1.917,5000
3,gsm8k,banditspec_exp3,1.1459,2.6298,3.751,5000
3,gsm8k,eps_greedy,1.2263,2.5412,2.876,5000
3,gsm8k,linucb_content,1.2255,2.6344,3.131,5000
3,gsm8k,nightjar,1.3146,2.3092,2.264,5000
3,gsm8k,oracle_load,1.3525,2.4316,2.636,5000
3,gsm8k,oracle_content,1.3582,2.4652,1.969,5000
3,gsm8k,oracle_loadcontent,1.4183,2.3414,1.942,5000
3,gsm8k,content_only,1.3315,2.3184,1.946,5000
3,gsm8k,load_only,1.3491,2.1906,1.813,5000
3,gsm8k,combined,1.3508,2.2748,1.943,5000
3,gsm8k,oracle,1.5196,2.5108,1.803,5000
3,mt_bench,fixed_1,1.3062,1.764,1.0,5000
