workload,prompt_idx,policy,error_type,K,accepted_or_entropy
humaneval,7,fixed_1,Under-Drafting,1,0.04334688559174538
humaneval,7,fixed_1,Under-Drafting,1,0.1628163605928421
humaneval,7,fixed_1,Under-Drafting,1,0.10475102066993713
humaneval,7,fixed_1,Under-Drafting,1,0.028238900005817413
humaneval,7,fixed_1,Under-Drafting,1,0.01895340159535408
humaneval,7,fixed_1,Under-Drafting,1,0.010941725224256516
humaneval,7,fixed_1,Under-Drafting,1,0.17965570092201233
humaneval,7,fixed_1,Under-Drafting,1,0.019829686731100082
humaneval,7,fixed_1,Under-Drafting,1,0.03526365011930466
humaneval,7,fixed_1,Under-Drafting,1,0.057317521423101425
humaneval,7,fixed_1,Under-Drafting,1,0.05560406297445297
humaneval,7,fixed_1,Under-Drafting,1,0.004907822236418724
humaneval,7,fixed_1,Under-Drafting,1,0.06078725680708885
humaneval,7,fixed_1,Under-Drafting,1,0.1414135992527008
humaneval,7,fixed_1,Under-Drafting,1,0.07569942623376846
humaneval,7,fixed_1,Under-Drafting,1,0.04348910599946976
humaneval,8,fixed_1,Under-Drafting,1,0.11191518604755402
humaneval,8,fixed_1,Under-Drafting,1,0.04067656770348549
humaneval,8,fixed_1,Under-Drafting,1,0.0007900650962255895
humaneval,8,fixed_1,Under-Drafting,1,0.06236552819609642
humaneval,8,fixed_1,Under-Drafting,1,0.032298967242240906
humaneval,8,fixed_1,Under-Drafting,1,0.0025171427987515926
humaneval,8,fixed_1,Under-Drafting,1,0.07343914359807968
humaneval,8,fixed_1,Under-Drafting,1,0.02473856881260872
humaneval,8,fixed_1,Under-Drafting,1,0.11361437290906906
humaneval,8,fixed_1,Under-Drafting,1,0.087955541908741
humaneval,8,fixed_1,Under-Drafting,1,0.027618981897830963
humaneval,8,fixed_1,Under-Drafting,1,0.09370893985033035
humaneval,8,fixed_1,Under-Drafting,1,0.04405217990279198
humaneval,8,fixed_1,Under-Drafting,1,0.0020249150693416595
humaneval,8,fixed_1,Under-Drafting,1,0.02301628328859806
humaneval,8,fixed_1,Under-Drafting,1,0.0005339260678738356
humaneval,8,fixed_1,Under-Drafting,1,0.01608910784125328
humaneval,8,fixed_1,Under-Drafting,1,0.10618993639945984
humaneval,8,fixed_1,Under-Drafting,1,0.010414106771349907
humaneval,9,fixed_1,Under-Drafting,1,0.04510372504591942
humaneval,9,fixed_1,Under-Drafting,1,0.041445039212703705
humaneval,9,fixed_1,Under-Drafting,1,0.014436665922403336
humaneval,9,fixed_1,Under-Drafting,1,0.12943688035011292
humaneval,9,fixed_1,Under-Drafting,1,0.025751814246177673
humaneval,9,fixed_1,Under-Drafting,1,0.13505919277668
humaneval,9,fixed_1,Under-Drafting,1,0.007958509959280491
humaneval,9,fixed_1,Under-Drafting,1,0.08917748928070068
humaneval,9,fixed_1,Under-Drafting,1,0.06622134894132614
humaneval,9,fixed_1,Under-Drafting,1,0.019237235188484192
humaneval,9,fixed_1,Under-Drafting,1,0.059691958129405975
humaneval,9,fixed_1,Under-Drafting,1,0.047109127044677734
humaneval,9,fixed_1,Under-Drafting,1,0.03325481712818146
humaneval,9,fixed_1,Under-Drafting,1,0.07798592746257782
humaneval,9,fixed_1,Under-Drafting,1,0.030560839921236038
humaneval,9,fixed_1,Under-Drafting,1,0.06509655714035034
humaneval,9,fixed_1,Under-Drafting,1,0.19678719341754913
humaneval,9,fixed_1,Under-Drafting,1,0.09087363630533218
humaneval,9,fixed_1,Under-Drafting,1,0.01737275719642639
humaneval,9,fixed_1,Under-Drafting,1,0.11235764622688293
humaneval,9,fixed_1,Under-Drafting,1,0.13114795088768005
humaneval,10,fixed_1,Under-Drafting,1,0.10816787928342819
humaneval,10,fixed_1,Under-Drafting,1,0.072880819439888
humaneval,10,fixed_1,Under-Drafting,1,0.09177019447088242
humaneval,10,fixed_1,Under-Drafting,1,0.023835262283682823
humaneval,10,fixed_1,Under-Drafting,1,0.012096956372261047
humaneval,10,fixed_1,Under-Drafting,1,0.07877061516046524
humaneval,10,fixed_1,Under-Drafting,1,0.024009671062231064
humaneval,10,fixed_1,Under-Drafting,1,0.16544455289840698
humaneval,10,fixed_1,Under-Drafting,1,0.04122087359428406
humaneval,10,fixed_1,Under-Drafting,1,0.002476353896781802
humaneval,10,fixed_1,Under-Drafting,1,0.002662947401404381
humaneval,10,fixed_1,Under-Drafting,1,0.1837826520204544
humaneval,10,fixed_1,Under-Drafting,1,0.18280312418937683
humaneval,10,fixed_1,Under-Drafting,1,0.19267097115516663
humaneval,10,fixed_1,Under-Drafting,1,0.0011936434311792254
humaneval,11,fixed_1,Under-Drafting,1,0.06671716272830963
